"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"Titus County, TX"	"48449"	442	161446	273.8	258.8
	"Tom Green County, TX"	"48451"	1482	581846	254.7	226.4
	"Travis County, TX"	"48453"	7646	6183988	123.6	153.6
	"Trinity County, TX"	"48455"	339	71519	474.0	261.2
	"Tyler County, TX"	"48457"	502	105096	477.7	309.7
	"Upshur County, TX"	"48459"	845	203487	415.3	311.1
	"Upton County, TX"	"48461"	64	17917	357.2	333.3
	"Uvalde County, TX"	"48463"	378	131559	287.3	251.1
	"Val Verde County, TX"	"48465"	598	240646	248.5	239.7
	"Van Zandt County, TX"	"48467"	1010	273590	369.2	252.3
	"Victoria County, TX"	"48469"	1157	451126	256.5	218.8
	"Walker County, TX"	"48471"	777	356263	218.1	211.5
	"Waller County, TX"	"48473"	573	264028	217.0	234.0
	"Ward County, TX"	"48475"	203	57744	351.6	341.8
	"Washington County, TX"	"48477"	469	170671	274.8	196.1
	"Webb County, TX"	"48479"	2295	1360673	168.7	217.1
	"Wharton County, TX"	"48481"	627	203892	307.5	245.1
	"Wheeler County, TX"	"48483"	111	25551	434.4	312.4
	"Wichita County, TX"	"48485"	2266	647775	349.8	314.8
	"Wilbarger County, TX"	"48487"	227	62225	364.8	271.5
	"Willacy County, TX"	"48489"	284	105481	269.2	263.3
	"Williamson County, TX"	"48491"	4048	2817661	143.7	150.3
	"Wilson County, TX"	"48493"	584	246559	236.9	198.7
	"Winkler County, TX"	"48495"	125	38591	323.9	334.2
	"Wise County, TX"	"48497"	929	335547	276.9	234.7
	"Wood County, TX"	"48499"	1027	219283	468.3	259.8
	"Yoakum County, TX"	"48501"	101	42507	237.6	246.5
	"Young County, TX"	"48503"	419	87623	478.2	327.8
	"Zapata County, TX"	"48505"	154	70237	219.3	226.0
	"Zavala County, TX"	"48507"	178	58566	303.9	303.9
	"Beaver County, UT"	"49001"	78	32530	239.8	215.8
	"Box Elder County, UT"	"49003"	556	271408	204.9	203.7
	"Cache County, UT"	"49005"	630	625723	100.7	135.2
	"Carbon County, UT"	"49007"	324	100248	323.2	263.6
	"Daggett County, UT"	"49009"	12	4934	Unreliable	Unreliable
	"Davis County, UT"	"49011"	2268	1736698	130.6	162.3
	"Duchesne County, UT"	"49013"	200	98834	202.4	218.6
	"Emery County, UT"	"49015"	158	49591	318.6	257.9
	"Garfield County, UT"	"49017"	70	24615	284.4	211.0
	"Grand County, UT"	"49019"	104	47581	218.6	169.0
	"Iron County, UT"	"49021"	442	262435	168.4	174.5
	"Juab County, UT"	"49023"	109	57361	190.0	207.5
	"Kane County, UT"	"49025"	91	37759	241.0	143.4
